Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
114,Daniss Jenkins,PG,24,DET,14,3,318,44,122,.361,16,59,.271,28,63,.444,.426,24,31,.774,13,24,37,42,6,5,10,23,128,jenkida01
115,Isaiah Joe,SG,26,OKC,13,0,143,23,55,.418,16,46,.348,7,9,.778,.564,1,1,1.000,5,13,18,14,7,1,5,17,63,joeis01
116,Cameron Johnson,SF,29,DEN,6,6,186,31,62,.500,11,35,.314,20,27,.741,.589,12,17,.706,3,16,19,14,6,2,6,18,85,johnsca02
117,Jalen Johnson,SF,24,ATL,6,6,214,40,92,.435,9,31,.290,31,61,.508,.484,28,32,.875,6,40,46,31,5,2,14,20,117,johnsja05
118,Keldon Johnson,SF,26,SAS,23,0,411,66,162,.407,21,58,.362,45,104,.433,.472,25,43,.581,29,47,76,20,15,3,24,52,178,johnske04
119,Nikola Jokić,C,30,DEN,6,6,237,54,121,.446,7,36,.194,47,85,.553,.475,40,43,.930,9,70,79,57,6,5,23,21,155,jokicni01
120,Spencer Jones,SF,24,DEN,6,3,145,13,19,.684,9,13,.692,4,6,.667,.921,4,5,.800,3,9,12,2,4,7,4,20,39,jonessp01
121,Tyus Jones,PG,29,DEN,3,0,30,4,8,.500,0,1,.000,4,7,.571,.500,1,2,.500,0,0,0,5,2,0,0,3,9,jonesty01
122,Luke Kennard,SG,29,LAL,10,5,326,39,80,.488,18,38,.474,21,42,.500,.600,19,23,.826,3,32,35,23,9,1,14,16,115,kennalu01
123,Corey Kispert,SF,26,ATL,5,0,54,4,22,.182,1,12,.083,3,10,.300,.205,2,3,.667,3,5,8,6,2,0,3,8,11,kispeco01
124,Maxi Kleber,PF,34,LAL,3,0,14,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,2,0,2,3,1,0,2,2,1,klebima01
125,Dalton Knecht,SF,24,LAL,5,0,18,3,8,.375,2,5,.400,1,3,.333,.500,2,2,1.000,0,6,6,3,0,0,1,0,10,knechda01
126,Tyler Kolek,PG,24,NYK,8,0,53,11,25,.440,4,9,.444,7,16,.438,.520,2,2,1.000,1,5,6,12,0,1,3,3,28,kolekty01
127,Luke Kornet,C,30,SAS,23,1,296,33,58,.569,1,1,1.000,32,57,.561,.578,17,22,.773,40,50,90,16,14,16,12,42,84,kornelu01
128,Vít Krejčí,PG,25,POR,4,0,16,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,,0,1,1,2,0,0,0,3,2,krejcvi01
129,Jonathan Kuminga,PF,23,ATL,6,0,156,29,60,.483,5,24,.208,24,36,.667,.525,19,26,.731,6,14,20,6,3,3,6,16,82,kuminjo01
130,Chaz Lanier,SG,24,DET,3,0,8,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,0,0,1,0,0,0,0,2,laniech01
131,Jake LaRavia,PF,24,LAL,8,0,114,9,27,.333,2,7,.286,7,20,.350,.370,6,6,1.000,9,8,17,6,4,6,11,16,26,laravja01
132,A.J. Lawson,SG,25,TOR,7,0,51,4,16,.250,2,8,.250,2,8,.250,.313,2,2,1.000,0,3,3,4,0,2,2,8,12,lawsoaj01
133,Caris LeVert,SG,31,DET,13,0,216,29,65,.446,10,27,.370,19,38,.500,.523,9,10,.900,6,23,29,16,8,6,8,20,77,leverca01
134,Kyle Lowry,PG,39,PHI,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,1,0,lowryky01
135,Khaman Maluach,C,19,PHO,4,0,45,4,8,.500,0,1,.000,4,7,.571,.500,0,0,,2,7,9,0,0,0,3,4,8,maluakh01
136,Sandro Mamukelashvili,C,26,TOR,7,0,104,14,35,.400,4,14,.286,10,21,.476,.457,3,7,.429,11,24,35,7,5,3,4,12,35,mamuksa01
137,Tyrese Maxey,PG,25,PHI,11,11,437,96,211,.455,26,74,.351,70,137,.511,.517,43,48,.896,4,40,44,65,9,4,23,22,261,maxeyty01
138,Miles McBride,SG,25,NYK,19,2,334,35,105,.333,30,80,.375,5,25,.200,.476,7,8,.875,9,14,23,23,8,4,10,34,107,mcbrimi01
139,Jared McCain,SG,21,OKC,15,2,258,56,136,.412,26,70,.371,30,66,.455,.507,12,15,.800,9,19,28,15,5,0,11,19,150,mccaija01
140,CJ McCollum,PG,34,ATL,6,6,192,46,99,.465,10,33,.303,36,66,.545,.515,13,24,.542,7,11,18,12,6,7,21,14,115,mccolcj01
