Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
212,Dean Wade,PF,29,CLE,18,14,407,2.7,5.7,.462,1.6,4.2,.375,1.1,1.5,.706,0.1,0.3,.333,2.1,4.1,6.2,1.2,1.1,0.1,0.9,1.9,7.0,wadede01
213,Franz Wagner,SF,24,ORL,4,4,122,7.4,16.8,.439,0.9,2.7,.333,6.5,14.2,.458,4.1,4.4,.933,1.2,5.3,6.5,4.1,3.2,0.3,1.8,2.4,19.8,wagnefr01
214,Moritz Wagner,C,28,ORL,2,0,13,2.8,11.1,.250,2.8,2.8,1.000,0.0,8.3,.000,5.5,5.5,1.000,2.8,5.5,8.3,0.0,0.0,0.0,2.8,8.3,13.8,wagnemo01
215,Jabari Walker,PF,23,PHI,6,0,29,1.2,12.4,.100,0.0,6.2,.000,1.2,6.2,.200,2.5,2.5,1.000,2.5,5.0,7.4,0.0,0.0,0.0,1.2,3.7,5.0,walkeja01
216,Cason Wallace,SG,22,OKC,15,2,374,4.4,9.2,.479,2.9,6.0,.484,1.5,3.3,.471,0.7,0.8,.875,1.9,3.6,5.5,3.5,3.1,0.7,1.1,2.9,12.4,wallaca01
217,Keaton Wallace,PG,26,ATL,3,0,15,4.8,19.2,.250,0.0,7.2,.000,4.8,12.0,.400,4.8,4.8,1.000,0.0,7.2,7.2,7.2,2.4,0.0,0.0,2.4,14.4,wallake01
218,Jordan Walsh,PF,21,BOS,7,0,89,1.6,7.7,.211,0.8,4.9,.167,0.8,2.8,.286,0.8,2.4,.333,2.4,4.9,7.3,2.8,1.6,0.8,0.0,2.0,4.9,walshjo01
219,Ja'Kobe Walter,SG,21,TOR,7,5,224,4.0,10.8,.373,2.7,8.4,.327,1.3,2.4,.533,1.8,1.9,.917,0.3,3.2,3.5,1.6,2.3,0.3,0.6,3.2,12.5,walteja01
220,Lindy Waters III,SG,28,SAS,9,0,34,6.4,13.8,.462,3.2,8.5,.375,3.2,5.3,.600,0.0,0.0,,3.2,3.2,6.4,4.2,1.1,0.0,1.1,2.1,15.9,waterli01
221,Trendon Watford,PF,25,PHI,7,0,40,6.3,9.9,.636,0.0,0.9,.000,6.3,9.0,.700,5.4,7.2,.750,0.0,2.7,2.7,2.7,2.7,0.0,1.8,1.8,18.0,watfotr01
222,Victor Wembanyama,C,22,SAS,22,22,750,8.4,17.4,.485,1.9,5.5,.342,6.6,12.0,.550,6.4,7.5,.847,2.6,8.8,11.5,2.8,1.0,3.7,2.8,2.6,25.2,wembavi01
223,Blake Wesley,SG,22,POR,4,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,7.2,14.4,.500,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,7.2,weslebl01
224,Derrick White,SG,31,BOS,7,7,251,3.7,11.6,.321,2.2,7.9,.273,1.6,3.7,.423,1.6,1.9,.846,1.4,1.9,3.3,3.2,0.9,1.4,1.6,1.7,11.2,whitede01
225,Aaron Wiggins,SG,27,OKC,13,0,75,4.3,12.0,.360,0.5,4.3,.111,3.8,7.7,.500,0.0,0.0,,0.5,1.9,2.4,2.4,0.5,0.5,1.9,1.9,9.1,wiggiaa01
226,Amari Williams,PF,24,BOS,1,0,2,0.0,18.0,.000,0.0,0.0,,0.0,18.0,.000,18.0,36.0,.500,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,william01
227,Jalen Williams,SG,24,OKC,5,4,107,9.8,18.8,.518,1.7,4.0,.417,8.1,14.8,.545,3.0,4.0,.750,1.7,3.7,5.4,4.7,1.7,0.7,2.0,1.7,24.2,willija06
228,Jaylin Williams,PF,23,OKC,15,0,240,3.9,9.7,.400,2.7,7.5,.360,1.2,2.3,.533,0.6,0.9,.667,1.0,8.2,9.3,3.3,1.2,0.5,0.9,4.8,11.1,willija07
229,Kenrich Williams,PF,31,OKC,11,0,72,6.0,15.5,.387,3.0,9.5,.316,3.0,6.0,.500,2.0,2.0,1.000,3.0,7.0,10.0,3.0,0.5,0.0,1.0,3.5,17.0,willike04
230,Robert Williams,C,28,POR,5,0,108,7.3,11.7,.629,1.0,3.0,.333,6.3,8.7,.731,0.3,1.0,.333,5.3,7.0,12.3,4.3,1.0,2.0,0.7,1.7,16.0,williro04
